Assembly	HG002.B10M	Full	50per	40per	30per	25per	20per	15per	10per	05per
# contigs (>= 0 bp)	294	30	31	30	31	32	32	33	69	317
# contigs (>= 1000 bp)	294	30	31	30	31	32	32	33	69	317
# contigs (>= 5000 bp)	294	30	31	30	31	32	32	33	69	317
# contigs (>= 10000 bp)	294	30	31	30	31	32	32	33	69	317
# contigs (>= 25000 bp)	294	30	31	30	31	32	32	33	69	317
# contigs (>= 50000 bp)	294	30	31	30	31	32	32	33	69	317
Total length (>= 0 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Total length (>= 1000 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Total length (>= 5000 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Total length (>= 10000 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Total length (>= 25000 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Total length (>= 50000 bp)	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
# contigs	294	30	31	30	31	32	32	33	69	317
Largest contig	20942544	244022167	244022167	244022167	244022167	244022167	244022167	244022167	242114497	127967812
Total length	3051512983	3051515994	3051516083	3051515984	3051516083	3051516183	3051516183	3051516283	3051519922	3051412469
Reference length	3051512984	3051512984	3051512984	3051512984	3051512984	3051512984	3051512984	3051512984	3051512984	3051512984
GC (%)	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82
Reference GC (%)	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82	40.82
N50	10271659	160955130	154341496	154341496	154341496	154341496	154341496	154341496	102725884	35682821
NG50	10271659	160955130	154341496	154341496	154341496	154341496	154341496	154341496	102725884	35682821
N90	10059689	78908864	78908864	78908864	78908864	78908864	66071406	66071406	39835077	6460100
NG90	10059689	78908864	78908864	78908864	78908864	78908864	66071406	66071406	39835077	6460100
auN	10458757.8	160212930.6	153764412.7	153767358.0	153760929.4	153753644.2	150441765.9	150424176.4	106357235.0	45037333.8
auNG	10458757.8	160213088.6	153764568.8	153767509.2	153761085.5	153753805.3	150441923.7	150424339.1	106357476.8	45035850.2
L50	144	8	8	8	8	8	8	8	12	24
LG50	144	8	8	8	8	8	8	8	12	24
L90	264	18	19	19	19	19	20	20	28	100
LG90	264	18	19	19	19	19	20	20	28	100
# misassemblies	0	3	2	3	2	2	2	3	34	106
# misassembled contigs	0	3	2	3	2	2	2	2	17	67
Misassembled contigs length	0	216833605	18200202	23140303	16675202	16675202	16670202	190177322	519973469	800805102
# local misassemblies	0	0	0	0	0	0	0	0	30	43
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	5	5	5	5	5	5	5	5	5	5
# possible TEs	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 4 part	0 + 6 part
Unaligned length	0	0	0	0	0	0	0	0	149764	763594
Genome fraction (%)	100.000	99.996	100.000	100.000	100.000	100.000	100.000	100.000	99.846	99.747
Duplication ratio	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.002
# N's per 100 kbp	767.42	767.51	767.52	767.51	767.52	767.52	767.52	767.52	767.64	768.48
# mismatches per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.73
# indels per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.10
Largest alignment	20942544	244022067	244022067	244022067	244022067	244022067	244022067	244022067	242114397	127967712
Total aligned length	3028095214	3027985239	3028095212	3028095212	3028095212	3028095212	3028095212	3028095212	3025907721	3025846558
NA50	10271659	154341396	154341396	154341396	154341396	154341396	154341396	135899001	100148611	30218682
NGA50	10271659	154341396	154341396	154341396	154341396	154341396	154341396	135899001	100148611	30218682
NA90	10054898	78908764	78908764	78908764	78908764	78908764	66071306	66071306	30207074	5131606
NGA90	10054898	78908764	78908764	78908764	78908764	78908764	66071306	66071306	30207074	5131606
auNA	10331698.0	153689955.8	153698362.5	153698351.6	153698357.3	153691094.6	150379294.2	145079445.0	99939659.4	39702642.6
auNGA	10331698.0	153690107.4	153698518.5	153698502.8	153698513.4	153691255.7	150379451.8	145079601.8	99939886.6	39701334.9
LA50	144	8	8	8	8	8	8	9	12	29
LGA50	144	8	8	8	8	8	8	9	12	29
LA90	264	19	19	19	19	19	20	21	32	115
LGA90	264	19	19	19	19	19	20	21	32	115
