Step	Dataset	Juicer.time	Juicer.threads	HE.time	HE.threads	MND.time	MND.threads	Tool.time	Tool.threads
YaHS	HG002.B10M	31:13:17	16					01:13:31	4
YaHS	AT.DtoL	12:56:33	16					25:50:00	4
YaHS	Dro.DtoL	14:03:20	16					00:30:03	4
YaHS	AG.DToL	10:22:09	16					00:20:39	4
YaHS	Vul.DToL	28:10:54	16					01:34:23	16
YaHS	BP.DtoL	34:51:21	24					01:36:34	4
Pin_hic	HG002.B10M	31:13:17	16					03:34:11	4
Pin_hic	AT.DtoL	12:56:33	16					01:21:21	4
Pin_hic	Dro.DtoL	14:03:20	16					01:36:33	4
Pin_hic	AG.DToL	10:22:09	16					00:51:15	4
Pin_hic	Vul.DToL	28:10:54	16					04:19:11	16
Pin_hic	BP.DtoL	34:51:21	24					04:27:49	4
3D-DNA	HG002.B10M	31:13:17	16			02:21:05	8	62:58:43	4
3D-DNA	AT.DtoL	12:56:33	16			01:04:25	8	16:49:45	1
3D-DNA	Dro.DtoL	14:03:20	16			01:13:50	8	11:52:40	1
3D-DNA	AG.DToL	10:22:09	16			00:58:05	8	44:12:09	1
3D-DNA	Vul.DToL	28:10:54	16			05:11:11	8	51:50:28	16
3D-DNA	BP.DtoL	34:51:21	24			04:45:51	8	71:13:41	4
AutoHic	HG002.B10M	31:13:17	16			02:21:05	8	41:21:47	4
AutoHic	AT.DtoL	12:56:33	16			01:04:25	8	01:39:09	4
AutoHic	Dro.DtoL	14:03:20	16			01:13:50	8	01:12:52	4
AutoHic	AG.DToL	10:22:09	16			00:58:05	8	25:23:39	4
AutoHic	Vul.DToL	28:10:54	16			05:11:11	8		
AutoHic	BP.DtoL	34:51:21	24			04:45:51	8		
SPA-C	HG002.B10M	31:13:17	16	10:13:18	4			00:17:33	4
SPA-C	AT.DtoL	12:56:33	16	02:51:05	4			00:02:09	4
SPA-C	Dro.DtoL	14:03:20	16	02:51:24	4			00:07:03	4
SPA-C	AG.DToL	10:22:09	16	01:58:03	4			00:20:20	4
SPA-C	Vul.DToL	28:10:54	16	13:06:06	4			02:49:30	4
SPA-C	BP.DtoL	34:51:21	24	09:40:52	8			07:37:12	4
